question_id,question_text,decomposition,split
CLEVR_train_2512,What is the color of the shortest object?,return objects ;return #1 that  is  shortest ;return color of #2,train
SPIDER_train_5007,What are the names of all students who successfully tried out for the position of striker?,return students ;return positions #1 successfully tried out for ;return #1 where #2 is  striker ;return the  names of #3,train
SPIDER_train_2336,"What is the campus fee of ""San Jose State University"" in year 1996?",return campus fees ;return #1 of  San Jose University ;return #2 in year 1996,train
COMQA_train_cluster-121-4,who is forty four president of the us?,return presidents of the  us ;return forty four of #1,train
NLVR2_train_train-11929-1-1,If there are no more than 3 graduates pictured.,return graduates ;return number of  #1 ;return if  #2 is at most 3,train
GEO_train_369,what are the major cities of the united states ,return cities ;return #1 of  the  united states ;return major #2,train
SPIDER_train_387,Show origins of all flights with destination Honolulu.,return flights ;return destinations of  #1 ;return #1 where #2 is  Honolulu ;return origins of  #3,train
DROP_train_history_1338_b5a02eb3-b8a6-42e9-9bc8-89805b771072,"Which had more men, the alliance or Brandenburg?","return the  alliance ;return men in  #1 ;return Brandenburg ;return men in  #3 ;return number of  #2 ;return number of  #4 ;return which is highest of #5 ,  #6",train
CLEVR_train_6568,Are there any blue objects larger than the red matte thing?,return blue objects ;return red matte thing ;return are there  any  #1 larger than #2,train
CLEVR_train_5123,What is the color of the object that has the same shape as the big cylinder?,return objects ;return big cylinder ;return shape of  #1 ;return shape of  #2 ;return #1 where  #3 is the   same as #4 ;return color of  #5,train
DROP_train_nfl_1619_f32e7dae-c987-4742-8d8c-3989e12aff7c,Who scored the longest TD play for Pittsburgh?,return Pittsburgh ;return TD plays of #1 ;return longest of #2 ;return who  scored #3,train
CLEVR_train_6389,What is the shape of the object to the right of the red cube?,return red cube ;return object to the    right of #1 ;return shape of #2,train
DROP_train_nfl_2499_587ce58f-a842-47c8-807f-df2d61b9db3b,How many rushing yards below their season average did the Chiefs run for?,return the  Chiefs ;return rushing yards of #1 ;return sum of #2 ;return the  season average of rushing yards of  #1 ;return the  difference of #3 and  #4,train
SPIDER_train_3198,How many different departments are there in each school that has less than 5 apartments?,return schools ;return apartments of  #1 ;return number of #2 for each #1 ;return #1 where  #3 is  lower than 5 ;return departments of  #4 ;return different #5 ;return number of #6,train
GEO_train_52,which states does the missouri river pass through ,return the  missouri river ;return states that #1 pass through,train
CLEVR_train_3111,What shape is the object that is the same color as the object blocked by a brown cylinder?,return objects ;return brown cylinder ;return #1 blocked by #2 ;return colors of #1 ;return color of #3 ;return #1 where #4 is  the   same as #5 ;return shape of #6,train
SPIDER_train_90,What are the ids of the students who registered for course 301 most recently?,return students ;return #1 who  registered for course 301 ;return #2 most recently ;return ids of  #3,train
DROP_train_history_2800_7a5058f0-eddb-4339-815b-7c1abc25c8ec,How many more people were of American ancestry compared to those of either French or Italian descent?,return people ;return #1 that have American ancestry ;return #1 that have French descent ;return #1 that have Italian descent ;return number of  #2 ;return number of  #3 ;return number of  #4 ;return sum of #6 and  #7 ;return the  difference of #5 and  #8,train
ATIS_train_792,please list the flights from charlotte to long beach arriving after lunch time ,return flights ;return #1 from  charlotte ;return #2 to long beach ;return #3 arriving after lunch time,train
ATIS_train_2819,i'd like to go from boston to pittsburgh to find the cheapest flight ,return flights ;return #1 from boston ;return #2 to  pittsburgh ;return #3 that  is  the  cheapest,train
CLEVR_train_11014,how many objects are in a line on the right side of the screen?,return objects ;return #1 in  a line ;return #2 on  the right side of  the  screen ;return number of #3,train
NLVR2_train_train-10445-1-0,If at least one dog has no visible collar on.,return dog ;return collar of #1 ;return #2 that is visible ;return #1 that has #3 ;return #1 besides  #4 ;return number of  #5 ;return if  #6 is at least one,train
NLVR2_train_train-7230-2-0,"If in one of the images, the snow plow is not pushing snow.",return snow  plow ;return snow  ;return #1 not pushing #2 ;return if  #3 is in  one of the  images,train
CWQ_train_WebQTrn-1699_7f2874d47e29b725668c81e6a73e86ff,What currency is used in the country where Dreher Classic beer is made?,return countries ;return #1 where Dreher Classic beer is made ;return currency of #2,train
ATIS_train_3536,what is the earliest flight that eastern has between boston and washington ,return flight ;return #1 that  is  earliest ;return #2 on eastern ;return #3 between boston and washington,train
COMQA_train_cluster-735-1,highest point of elevation in france?,return france ;return points of elevation of  #1 ;return height of #2 ;return #2 where  #3 is highest,train
SPIDER_train_844,Find the average unit price of jazz tracks.,return jazz tracks ;return prices of #1 ;return average of  #2,train
DROP_train_history_535_dd62240c-1022-42cf-ba24-8461ec227b0b,How many days did it take for Parliament to accept Finland's Declaration of Independence?,return Finland 's Declaration of Independence ;return days that it take for Parliament to accept #1 ;return number of  #2,train
SPIDER_train_6138,What are names of customers who never ordered product Latte.,return customers ;return products #1 ordered ;return #1 where #2 is  Latte ;return #1 besides  #3 ;return names of  #4,train
SPIDER_train_1709,"For each user, return the name and the average rating of reviews given by them.","return users ;return names of #1 ;return reviews of #1 ;return ratings of #3 ;return the  average of #4 for each #1 ;return #2 ,  #5",train
ATIS_train_1293,which airlines are represented in the database ,return airlines ;return #1 represented in the database,train
NLVR2_train_train-3358-2-0,If someone is wearing a hat in both images.,return someone ;return hat ;return #1 wearing #2 ;return images ;return #4 of #3 ;return the  number of  #4 ;return the  number of  #5 ;return if  #6 is equal to  #7,train
NLVR2_train_train-1329-2-1,If there is at least one bottle of perfume being displayed in the center of both images.,return bottle of perfume ;return images ;return center of #2 ;return #1 that is being displayed in  #3 ;return number of  #4 for each  #2 ;return #2 where  #5 is at least one ;return number of  #6 ;return if  #7 is equal to  two,train
DROP_train_history_736_2ef5850c-e7c1-483e-a350-3ceb3dddc91b,"Which happened first, the Irish Famine or the Great Famine?","return the  Irish Famine ;return the  Great Famine ;return when  was  #1 ;return when  was  #2 ;return which is lowest of #3 ,  #4",train
CLEVR_train_6728,how many red items are there? ,return red items ;return number of #1,train
NLVR2_train_train-11171-0-1,If one image contains exactly three wind instruments and the other contains exactly five.,return one image ;return the  other image ;return wind instruments in  #1 ;return wind instruments in  #2 ;return number of #3 ;return number of #4 ;return if  #5 is  equal to three ;return if  #6 is  equal to five ;return if  both  #7 and #8 are  true,train
CLEVR_train_1115,What is the shape of the object to the left of the yellow ball?,return objects ;return yellow ball ;return #1 to the    left of #2 ;return shape of #3,train
CWQ_train_WebQTrn-3147_cbe0b2e42bd644732f31cbd57e534e85,"In ""The Wiz,"" what character was played by the artist who went on a concert tour called This Is It Tour?",return the  This Is It Tour ;return artist of #1 ;return characters played by #2 ;return #3 in  The Wiz,train
DROP_train_history_1197_c915969d-bf34-4b60-8770-007fa135ec46,What happened first: Portuguese revolution or the Treaty of Lisbon?,"return the  Portuguese revolution ;return the  Treaty of Lisbon ;return when  was  #1 ;return when  was  #2 ;return which is lowest of #3 ,  #4",train
SPIDER_train_5443,What are the card numbers of members from Kentucky?,return members ;return #1 from Kentucky ;return card numbers of #2,train
SPIDER_train_2315,What are the countries of perpetrators? Show each country and the corresponding number of perpetrators there.,"return perpetrators  ;return countries of  #1 ;return number of  #1 for each  #2 ;return #2 ,  #3",train
CLEVR_train_6457,Are all of the large objects matte spheres?,return large objects ;return matte spheres ;return are all of #1 the  same as #2,train
DROP_train_history_2421_80b1587f-f90c-4076-b557-52a0c2d98fc1,Buy how many percentages did the number of people living in poverty go up from 2014 2015?,return people ;return #1 living in  poverty ;return #2 in  2014 ;return #2 in  2015 ;return percentage of #3 ;return percentage of #4 ;return the  difference of #6 and  #5,train
CLEVR_train_16126,Is everything to the right of the blue thing the same color?,return the  blue thing ;return things ;return #2 that  are to  the   right of #1 ;return the   colors of #3 ;return if  #4 are the   same,train
SPIDER_train_3793,"Find the number of students who have the word ""son"" in their personal names.",return students ;return personal names of  #1 ;return #1 where  #2 has  son ;return number of #3,train
SPIDER_train_2101,What is the description of document type 'Paper'?,return document types ;return descriptions of  #1 ;return #2 where #1 is  'Paper,train
CLEVR_train_922,how many objects are behind the blue thing?,return blue thing ;return objects besides #1 ;return #2 behind #1 ;return number of #3,train
NLVR2_train_train-11075-1-1,If there are less than five birds in one of the pictures.,return birds ;return pictures ;return number of  #1 for each  #2 ;return #2 where  #3 is lower than five ;return number of  #4 ;return if  #5 is equal to  one,train
DROP_train_nfl_567_66ebd016-9b39-4dd7-9300-67097070cf5e,"How many total field goals were attempted, both made and missed?",return field goals ;return #1 that were made ;return #1 that missed ;return number of  #2 ;return number of  #3 ;return sum of #4 and  #5,train
CLEVR_train_14192,what color is the non metallic cube,return non metallic cube ;return color of #1,train
NLVR2_train_train-5590-0-1,If there are more pillows in the image on the left than in the image on the right.,return left image  ;return right image  ;return pillows of #1 ;return pillows of #2 ;return the  number of  #3 ;return the  number of  #4 ;return if  #5 is higher than #6,train
DROP_train_history_802_1ade1e27-a8a4-4839-81cb-12f27df8017d,How many years after Saint Jean de Brébeuf was beatified was he canonized as a saint in the Roman Catholic Church?,return Saint Jean de Brébeuf was  beatified ;return he was  canonized as a saint in  the  Roman Catholic Church ;return year of #1 ;return year of #2 ;return difference of #3 and  #4,train
NLVR2_train_train-6474-1-1,"If the left image contains one dog, a chocolate-brown spaniel with a leash extending from its neck.",return left image ;return dog in  #1 ;return number of  #2 ;return if  #3 is equal to  one ;return #2 that is a  spaniel ;return #5 that is chocolate-brown ;return leash in  #1 ;return neck of #6 ;return if  #7 is extending from  #8 ;return if  both  #4 and #9 are true,train
DROP_train_history_569_338e9167-b002-486b-9a30-32c9f331627a,How many years was it between when the Tready of Edinburgh-Northampton was signed and when Edward II of England was deposed?,return the  Tready of Edinburgh-Northampton was  signed ;return Edward II of England was  deposed ;return year of #1 ;return year of #2 ;return difference of #3 and  #4,train
ACADEMIC_train_120,return me the number of papers published in the VLDB conference before 2000 . ,return VLDB conference ;return papers published in #1 ;return #2 before 2000 ;return number of #3,train
COMQA_train_cluster-15-5,what is the name of the longest river in northern ireland?,return northern ireland ;return rivers of #1 ;return longness of #2 ;return #2 where  #3 is highest ;return name of #4,train
ATIS_train_1642,give me the lowest fare from atlanta to denver on may seventh please ,return flights ;return #1 from atlanta ;return #2 to  denver ;return #3 on may seventh ;return fares of #4 ;return #5 that  is  the  lowest,train
SPIDER_train_4454,Find the name of persons who are friends with Bob.,return Bob ;return friends of  #1 ;return names of  #2,train
SPIDER_train_2431,What are the names of people who are shorter than average?,return people ;return height of  #1 ;return average of  #2 ;return #1 where #2 is  less than #3 ;return names of  #4,train
NLVR2_train_train-9408-3-0,If the right image contains two convertible vehicles.,return the  right image ;return convertible vehicles in  #1 ;return number of #2 ;return if  #3 is  equal to two,train
CLEVR_train_989,Is there a shape that is the same as the green object?,return objects ;return #1 that is green ;return #1 besides  #2 ;return shape of #2 ;return shapes of #3 ;return #3 where #4 is the  same as #5 ;return number of  #6 ;return if #7 is higher than zero,train
ATIS_train_33,i need a flight from baltimore to seattle ,return flights ;return #1 from baltimore ;return #2 to  seattle,train
SPIDER_train_2402,"Please list support, consider, and oppose rates for each candidate in ascending order by unsure rate.","return candidates ;return support rates of #1 ;return consider rates of #1 ;return oppose rates of #1 ;return unsure rates of #1 ;return #2 ,  #3 ,   #4 ;return #6 sorted by #5 in  ascending order",train
SPIDER_train_5169,Find the id of the product ordered the most often on invoices.,return invoices ;return products of #1 ;return number of  #1 for each #2 ;return #2 where #3 is the  highest ;return id of #4,train
ATIS_train_568,what are the schedule of flights from boston to san francisco for august first ,return flights ;return #1 from boston ;return #2 to  san francisco ;return #3 on august first ;return schedule of #4,train
DROP_train_history_1979_155b8639-e059-4876-baff-e241dc97f59e,How many years after the general outbreaks of the plague in the Tudor dynasty and House of Stuart England began did it end with the Great Plague of London?,return the  general outbreaks of   the   plague in  the    Tudor dynasty and  House of Stuart England ;return it end with the  Great Plague of   London ;return year of   #1 ;return year of   #2 ;return the  difference of   #4 and  #3,train
ATIS_train_3776,what flights are available between baltimore and boston on august twelfth ,return flights ;return #1 between baltimore ;return #2 and  boston ;return #3 on  august twelfth,train
NLVR2_train_train-5490-2-0,If the birds in both images are diving into the water with their heads facing right.,return birds ;return the  water ;return #1 diving into #2 ;return head of #3 ;return #3 where  #4 is facing right ;return images of #5 ;return number of  #6 ;return if  #7 is equal to  two,train
NLVR2_train_train-5774-1-0,"If the right image includes a person leading a llama toward the camera, and the left image includes multiple llamas wearing packs.",return right image  ;return person in  #1 ;return llama in  #1 ;return #2 that is leading #3 toward the  camera ;return number of  #4 ;return if  #5 is at least one ;return left image  ;return llamas in  #7 ;return packs in  #7 ;return #8 that are wearing #9 ;return number of  #10 ;return if  #11 is at least two ;return if  both  #6 and #12 are true,train
CLEVR_train_12398,how many shiny material objects are there ?,return shiny material objects ;return number of #1,train
DROP_train_history_1736_96e96a1a-1a6f-44d7-8bd3-f1930c3e7430,By how many percentage points did the Greek GDP growth fall between 2003 and 2006?,return the  Greek GDP ;return growths in  percentages of #1 ;return #2 in  2003 ;return #2 in  2006 ;return the  difference of #4 and  #3,train
DROP_train_nfl_1129_8bc39cdd-c355-4450-a395-6011587dca8f,How many interceptions did O'Sullivan throw?,return O'Sullivan ;return interceptions of #1 ;return number of  #2,train
CLEVR_train_6585,What shape is the object that is behind the purple cube?,return purple cube ;return object behind #1 ;return shape of #2,train
SPIDER_train_2179,Find the id and forenames of drivers who participated both the races with name Australian Grand Prix and the races with name Chinese Grand Prix?,"return races with  the name  Australian Grand Prix  ;return races with  the name  Chinese Grand Prix  ;return drivers who  participated in both #1 and #2 ;return ids of  #3 ;return forenames of  #3 ;return #4 ,   #5",train
CWQ_train_WebQTrn-1880_0a522fd602641e4c7acb7870908615ed,What conditions did the person who had his work dedicated by the United States Congress suffer from?,return person ;return #1 that had his work dedicated by the  United States Congress ;return conditions of #2,train
CLEVR_train_2574,How many different colors do the spheres display?,return the  spheres ;return the  different colors that  #1 display ;return the  number of  #2,train
DROP_train_history_80_cc8fba7f-6008-40a0-8f71-32503fb3d00c,How many pounds did the ferry weigh?,return the  ferry ;return pounds #1 did weigh ;return number of  #2,train
NLVR2_train_train-3833-2-1,If the warthogs in one image are next to a body of water.,return warthogs ;return body of water ;return #1 that are next to  #2 ;return if  #3 is in  one image,train
CLEVR_train_1792,Are there more small objects that are either brown or matte than large objects?,"return small objects  ;return #1 that  are matte ;return #1 that  are brown ;return #2 or  #3 ;return number of #4 ;return large objects  ;return number of #6 ;return which  is  highest of #5 , #7",train
COMQA_train_cluster-1104-4,in the 50 states where is the tallest mountain and its name?,"return the  50 states ;return mountains of #1 ;return height of #2 ;return #2 where  #3 is highest ;return where  is #4 ;return name of #4 ;return #5 , #6",train
SPIDER_train_805,Which month has the most happy hours?,return months ;return number of  happy hours for each  #1 ;return #1 where #2 is  highest,train
NLVR2_train_train-11645-0-0,If the left photo contains two cups full of dessert.,return the  left photo ;return cups in  #1 ;return dessert ;return #2 full of  #3 ;return number of #4 ;return if  #5 is  equal to two,train
